"election_date","office_name","district_name","candidate_name","candidate_party_name","votes","is_winner","pct"
"2016","State Representative","11","Javier I. Martinez","Democratic",10118,TRUE,100
"2016","State Representative","12","Patricio R. Ruiloba","Democratic",5036,TRUE,100
"2016","State Representative","13","Patricia A. Roybal Caballero","Democratic",5525,TRUE,100
"2016","State Representative","14","Miguel P. Garcia","Democratic",6209,TRUE,100
"2016","State Representative","15","Sarah Maestas Barnes","Republican",7358,TRUE,53.2
"2016","State Representative","15","Ane C. Romero","Democratic",6467,FALSE,46.8
"2016","State Representative","16","Antonio ""Moe"" Maestas","Democratic",8256,TRUE,100
"2016","State Representative","17","Deborah A. Armstrong","Democratic",8640,TRUE,100
"2016","State Representative","18","Gail Chasey","Democratic",9922,TRUE,100
"2016","State Representative","19","Sheryl Williams M. Stapleton","Democratic",8289,TRUE,100
"2016","State Representative","2","James R.J. Strickler","Republican",6083,TRUE,72
"2016","State Representative","2","Kenneth R. Robinson","Democratic",2365,FALSE,28
"2016","State Representative","20","Jim Dines","Republican",7350,TRUE,57.7
"2016","State Representative","20","Giovanni Alexander Haqani","Democratic",5389,FALSE,42.3
"2016","State Representative","21","Debra Marie Sarinana","Democratic",4685,TRUE,100
"2016","State Representative","22","James E. Smith","Republican",9630,TRUE,56.2
"2016","State Representative","22","John M. Wallace","Democratic",7510,FALSE,43.8
"2016","State Representative","23","Daymon B. Ely","Democratic",7127,TRUE,50.4
"2016","State Representative","23","Paul A. Pacheco","Republican",7022,FALSE,49.6
"2016","State Representative","24","Elizabeth L. Thomson","Democratic",6798,TRUE,52.3
"2016","State Representative","24","Christina Marie Hall","Republican",6198,FALSE,47.7
"2016","State Representative","25","Christine Trujillo","Democratic",9807,TRUE,100
"2016","State Representative","26","Georgene Louis","Democratic",4800,TRUE,100
"2016","State Representative","27","Lorenzo A. Larrañaga","Republican",9110,TRUE,58.5
"2016","State Representative","27","Ronald E. Krise","Democratic",6457,FALSE,41.5
"2016","State Representative","28","Jimmie C. Hall","Republican",10279,TRUE,100
"2016","State Representative","29","David E. Adkins","Republican",6977,TRUE,50
"2016","State Representative","29","Ronnie Martinez","Democratic",6968,FALSE,50
"2016","State Representative","3","Paul C. Bandy","Republican",8299,TRUE,100
"2016","State Representative","30","Nate Gentry","Republican",6841,TRUE,52.2
"2016","State Representative","30","Natalie R. Figueroa","Democratic",6267,FALSE,47.8
"2016","State Representative","31","William R. Rehm","Republican",10760,TRUE,60.4
"2016","State Representative","31","Robert L. Scott","Democratic",7051,FALSE,39.6
"2016","State Representative","32","Candie G. Sweetser","Democratic",4480,TRUE,51.3
"2016","State Representative","32","Vicki K. Chavez","Republican",4251,FALSE,48.7
"2016","State Representative","33","Bill Mccamley","Democratic",6599,TRUE,64.6
"2016","State Representative","33","Neal L. Hooks","Republican",3613,FALSE,35.4
"2016","State Representative","34","Bealquin Bill Gomez","Democratic",5757,TRUE,100
"2016","State Representative","35","Angelica Rubio","Democratic",6407,TRUE,63
"2016","State Representative","35","Joseph E. Bishop","Republican",3762,FALSE,37
"2016","State Representative","36","Nathan P. Small","Democratic",5427,TRUE,56.5
"2016","State Representative","36","Andrew Nunez","Republican",4173,FALSE,43.5
"2016","State Representative","37","Joanne J. Ferrary","Democratic",7483,TRUE,52.5
"2016","State Representative","37","Terry H. Mcmillan","Republican",6757,FALSE,47.5
"2016","State Representative","38","Rebecca L. Dow","Republican",7136,TRUE,54.8
"2016","State Representative","38","Mary E. Hotvedt","Democratic",5886,FALSE,45.2
"2016","State Representative","39","Rodolpho S. Martinez","Democratic",5099,TRUE,51.2
"2016","State Representative","39","John L. Zimmerman","Republican",4869,FALSE,48.8
"2016","State Representative","4","Sharon E. Clahchischilliage","Republican",5038,TRUE,54.3
